Strategy,WETH_Mean,WETH_Std,WETH_Median,WETH_IQR,WETH_Positive_Rate,WETH_P,WBTC_Mean,WBTC_Std,WBTC_Median,WBTC_IQR,WBTC_Positive_Rate,WBTC_P
PassiveWidthSweep,21127.32065786139,10381.832215104727,22581.357432771027,18674.611797073507,1.0,0.01647423106298085,15981.55145522731,9913.128661616942,15182.437287687728,15032.892615764387,1.0,0.016565169618359077
VolProportionalWidth,24056.844910115207,14417.30616409739,24495.511979395953,20619.301477360146,1.0,0.03182958601239072,17012.867189024273,9842.89410560318,17832.924408349943,14979.376023015782,1.0,0.0004131587578239948
ILMinimizer,16813.575660913917,19492.3950237449,11436.69124037931,30893.904655242895,0.8,0.0018273229655163536,16035.785061615104,9841.539058596632,15083.807652021835,13822.750250283632,1.0,0.014215684742837853
ReactiveRecentering,65271.486980534624,261066.4725090518,-17871.12860416959,8482.674000553976,0.2,0.45792678715947055,16081.337575648333,17586.67636986041,8862.108288272346,21744.093886559604,0.9090909090909091,0.04395753990503848
PPO,37332.116191821086,46667.71211922269,32264.42292387472,34766.92209432524,0.82,,13672.24023649078,13713.41134091714,9285.335836773957,18620.500967929846,0.9181818181818182,
