Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N
PassiveWidthSweep,9929.506949167853,6533.09324990845,7106.434846198295,7590.776393953082,12216.406573934946,-2.56881178769368,0.012800319997459625,7.0,30
VolProportionalWidth,9937.492742455603,6524.932913593462,7129.292684317071,7769.050623151619,12411.457895386284,-2.575833985425264,0.012569925699920163,7.0,30
ILMinimizer,9937.492742455603,6524.932913593462,7129.292684317071,7840.137444944507,12387.946320457051,-2.575833985425264,0.012569925699920163,7.0,30
ReactiveRecentering,4085.8424310725363,3550.134271943998,4397.951343998407,2759.960799862483,5350.034962542532,1.5502933593844346,0.1265109891310059,19.0,30
PPO,5932.349126366883,5473.200428601139,4221.534986346052,4054.1423346579527,7806.417394202429,,,,30
