Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N
PassiveWidthSweep,26127.165523830292,7570.096091830034,21433.03776814022,23602.000756730427,29070.748032623735,-1.049423250646631,0.2992385747640138,8.0,25
VolProportionalWidth,26174.62326346646,7552.811183671335,21438.03776814022,23533.816204053797,29106.176635814165,-1.0620405082331812,0.29353167066253055,8.0,25
ILMinimizer,26174.62326346646,7552.811183671335,21438.03776814022,23396.986224908356,29203.071413890455,-1.0620405082331812,0.29353167066253055,8.0,25
ReactiveRecentering,29342.44787427743,23280.081296349443,16839.465161205917,20119.33105563123,38631.26479730927,-1.241499527437062,0.22045399222314468,10.0,25
PPO,22060.73370939082,17834.486098403533,22203.022084152242,15535.177464177692,28500.939125519348,,,,25
