,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-82531.099210234,2024-11-22 18:02:11.951203,2024-11-22 18:02:23.479619,0 days 00:00:11.528416,"[0, 10, 20, 30]",tanh,"[8, 4]",0.001,COMPLETE
1,1,-19743.646891152395,2024-11-22 18:02:23.480153,2024-11-22 18:02:32.719915,0 days 00:00:09.239762,"[0, 25, 50]",sigmoid,"[6, 4]",1e-05,COMPLETE
2,2,291.365820641747,2024-11-22 18:02:32.720457,2024-11-22 18:03:33.644164,0 days 00:01:00.923707,"[0, 45, 50, 55]",relu,"[4, 4, 4]",0.0001,COMPLETE
3,3,-82531.099210234,2024-11-22 18:03:33.644758,2024-11-22 18:03:55.480887,0 days 00:00:21.836129,"[0, 10, 20, 30]",tanh,"[8, 2]",0.01,COMPLETE
4,4,-82531.099210234,2024-11-22 18:03:55.481517,2024-11-22 18:04:25.569972,0 days 00:00:30.088455,"[0, 10, 15, 20]",sigmoid,"[8, 2]",0.005,COMPLETE
