,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-2206.0233695435836,2024-11-22 18:31:37.723985,2024-11-22 18:31:47.343334,0 days 00:00:09.619349,"[0, 25, 50]",sigmoid,"[8, 4]",5e-05,COMPLETE
1,1,-15149.28724167282,2024-11-22 18:31:47.343875,2024-11-22 18:31:57.039686,0 days 00:00:09.695811,"[0, 10, 15, 20]",tanh,"[6, 6, 6]",0.0001,COMPLETE
2,2,-545.3153893623617,2024-11-22 18:31:57.040253,2024-11-22 18:32:07.209661,0 days 00:00:10.169408,"[0, 50, 100]",tanh,"[8, 8]",0.005,COMPLETE
3,3,5076.443173590529,2024-11-22 18:32:07.210220,2024-11-22 18:32:18.649818,0 days 00:00:11.439598,"[0, 50, 100]",relu,"[8, 4]",0.01,COMPLETE
4,4,-2206.0233695435836,2024-11-22 18:32:18.650366,2024-11-22 18:32:28.192093,0 days 00:00:09.541727,"[0, 25, 50]",tanh,"[10, 4]",5e-05,COMPLETE
