,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-6029.141935614162,2024-11-22 18:33:25.223370,2024-11-22 18:33:36.881838,0 days 00:00:11.658468,"[0, 25, 50]",sigmoid,"[4, 4]",0.005,COMPLETE
1,1,32718.162573948925,2024-11-22 18:33:36.882395,2024-11-22 18:33:45.326958,0 days 00:00:08.444563,"[0, 45, 50, 55]",tanh,"[10, 4]",5e-05,COMPLETE
2,2,2051.2074906032344,2024-11-22 18:33:45.327517,2024-11-22 18:33:55.820307,0 days 00:00:10.492790,"[0, 10, 15, 20]",sigmoid,"[4, 4, 4]",0.005,COMPLETE
3,3,-2765.595821989088,2024-11-22 18:33:55.820898,2024-11-22 18:34:07.407104,0 days 00:00:11.586206,"[0, 45, 50, 55]",relu,"[8, 2]",0.0005,COMPLETE
4,4,2982.035340088822,2024-11-22 18:34:07.407696,2024-11-22 18:34:24.135762,0 days 00:00:16.728066,"[0, 25, 50]",sigmoid,"[10, 2]",0.01,COMPLETE
