,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-42003.13686189217,2024-11-22 18:35:07.773013,2024-11-22 18:35:17.939172,0 days 00:00:10.166159,"[0, 25, 50]",sigmoid,"[8, 8]",0.005,COMPLETE
1,1,146.8346728026322,2024-11-22 18:35:17.939711,2024-11-22 18:35:27.257093,0 days 00:00:09.317382,"[0, 25, 50]",sigmoid,"[10, 8]",0.001,COMPLETE
2,2,-4705.051160760605,2024-11-22 18:35:27.257673,2024-11-22 18:35:39.087191,0 days 00:00:11.829518,"[0, 50, 100]",tanh,"[4, 4, 4]",5e-05,COMPLETE
3,3,2269.9071325538944,2024-11-22 18:35:39.087786,2024-11-22 18:35:50.760247,0 days 00:00:11.672461,"[0, 45, 50, 55]",tanh,"[4, 2]",0.01,COMPLETE
4,4,-108539.10762178373,2024-11-22 18:35:50.760797,2024-11-22 18:36:02.092269,0 days 00:00:11.331472,"[0, 10, 15, 20]",relu,"[4, 4, 4]",1e-05,COMPLETE
