,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3902.394895703032,2024-11-22 18:15:11.089873,2024-11-22 18:15:58.506443,0 days 00:00:47.416570,"[0, 10, 20, 30]",relu,"[8, 8]",5e-05,COMPLETE
1,1,8329.850087635996,2024-11-22 18:15:58.506995,2024-11-22 18:16:46.329035,0 days 00:00:47.822040,"[0, 45, 50, 55]",relu,"[4, 4]",0.001,COMPLETE
2,2,-3902.394895703032,2024-11-22 18:16:46.329586,2024-11-22 18:16:55.361464,0 days 00:00:09.031878,"[0, 10, 15, 20]",tanh,"[4, 2]",1e-05,COMPLETE
3,3,-3902.394895703032,2024-11-22 18:16:55.362045,2024-11-22 18:17:47.804748,0 days 00:00:52.442703,"[0, 10, 20, 30]",sigmoid,"[4, 4, 4]",0.001,COMPLETE
4,4,-3539.1591124216375,2024-11-22 18:17:47.805338,2024-11-22 18:17:56.491876,0 days 00:00:08.686538,"[0, 45, 50, 55]",sigmoid,"[6, 6, 6]",1e-05,COMPLETE
