,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-545.3153893623617,2024-11-22 18:32:28.200162,2024-11-22 18:32:40.153052,0 days 00:00:11.952890,0.2,0.0001,0.999,COMPLETE
1,1,5076.443173590529,2024-11-22 18:32:40.153516,2024-11-22 18:32:49.811675,0 days 00:00:09.658159,0.2,0.01,0.999,COMPLETE
2,2,5076.443173590529,2024-11-22 18:32:49.812152,2024-11-22 18:33:01.357181,0 days 00:00:11.545029,0.3,0.0001,0.999,COMPLETE
3,3,5076.443173590529,2024-11-22 18:33:01.357696,2024-11-22 18:33:12.658965,0 days 00:00:11.301269,0.2,0.001,0.9999,COMPLETE
4,4,5076.443173590529,2024-11-22 18:33:12.659488,2024-11-22 18:33:24.866925,0 days 00:00:12.207437,0.1,0.01,0.9999,COMPLETE
