,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,16193.72402039714,2024-11-22 18:12:50.976509,2024-11-22 18:13:13.212433,0 days 00:00:22.235924,0.2,0.0001,0.9,COMPLETE
1,1,9945.011752292588,2024-11-22 18:13:13.212896,2024-11-22 18:13:22.332063,0 days 00:00:09.119167,0.3,0.01,0.999,COMPLETE
2,2,8998.331326649877,2024-11-22 18:13:22.332591,2024-11-22 18:14:05.976223,0 days 00:00:43.643632,0.3,0.001,0.999,COMPLETE
3,3,8998.331326649877,2024-11-22 18:14:05.976739,2024-11-22 18:14:43.761503,0 days 00:00:37.784764,0.3,1e-05,0.99,COMPLETE
4,4,8998.331326649877,2024-11-22 18:14:43.762025,2024-11-22 18:15:10.612105,0 days 00:00:26.850080,0.4,0.0001,0.9999,COMPLETE
