,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,283.0136147619613,2024-11-22 18:00:27.103290,2024-11-22 18:00:38.005264,0 days 00:00:10.901974,"[0, 50, 100]",tanh,"[6, 6, 6]",0.0001,COMPLETE
1,1,-47260.88562766788,2024-11-22 18:00:38.005811,2024-11-22 18:00:48.674567,0 days 00:00:10.668756,"[0, 25, 50]",relu,"[10, 4]",0.005,COMPLETE
2,2,-47260.88562766788,2024-11-22 18:00:48.675151,2024-11-22 18:00:59.293165,0 days 00:00:10.618014,"[0, 25, 50]",sigmoid,"[10, 2]",0.005,COMPLETE
3,3,302.18772643128744,2024-11-22 18:00:59.293760,2024-11-22 18:01:10.244701,0 days 00:00:10.950941,"[0, 50, 100]",sigmoid,"[8, 2]",0.0005,COMPLETE
4,4,-47260.88562766788,2024-11-22 18:01:10.245253,2024-11-22 18:01:21.184317,0 days 00:00:10.939064,"[0, 25, 50]",sigmoid,"[4, 2]",0.005,COMPLETE
