,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,8329.850087635996,2024-11-22 18:17:56.498945,2024-11-22 18:18:52.115421,0 days 00:00:55.616476,0.2,0.0001,0.99,COMPLETE
1,1,-3398.293929305388,2024-11-22 18:18:52.115873,2024-11-22 18:19:08.951525,0 days 00:00:16.835652,0.2,0.01,0.99,COMPLETE
2,2,-3539.1591124216375,2024-11-22 18:19:08.952047,2024-11-22 18:19:27.135242,0 days 00:00:18.183195,0.4,0.0001,0.99,COMPLETE
3,3,8329.850087635996,2024-11-22 18:19:27.135746,2024-11-22 18:19:38.112766,0 days 00:00:10.977020,0.3,1e-05,0.99,COMPLETE
4,4,8329.850087635996,2024-11-22 18:19:38.113283,2024-11-22 18:20:33.370662,0 days 00:00:55.257379,0.05,0.001,0.9,COMPLETE
