,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,2386.662939576096,2024-11-22 18:20:33.723454,2024-11-22 18:20:49.292202,0 days 00:00:15.568748,"[0, 10, 15, 20]",sigmoid,"[8, 8]",0.0005,COMPLETE
1,1,-9743.000455786178,2024-11-22 18:20:49.292742,2024-11-22 18:21:32.329940,0 days 00:00:43.037198,"[0, 10, 20, 30]",sigmoid,"[10, 2]",0.0005,COMPLETE
2,2,-9743.000455786178,2024-11-22 18:21:32.330513,2024-11-22 18:21:47.784940,0 days 00:00:15.454427,"[0, 10, 20, 30]",sigmoid,"[6, 4]",0.0001,COMPLETE
3,3,24769.37497463327,2024-11-22 18:21:47.785529,2024-11-22 18:22:34.169171,0 days 00:00:46.383642,"[0, 45, 50, 55]",sigmoid,"[4, 4]",0.005,COMPLETE
4,4,103.0769104686054,2024-11-22 18:22:34.169721,2024-11-22 18:23:23.002686,0 days 00:00:48.832965,"[0, 25, 50]",relu,"[8, 8]",0.005,COMPLETE
