,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-20837.655764919116,2024-11-22 18:01:21.193266,2024-11-22 18:01:30.931046,0 days 00:00:09.737780,0.1,0.0001,0.999,COMPLETE
1,1,-20837.655764919116,2024-11-22 18:01:30.931532,2024-11-22 18:01:40.586758,0 days 00:00:09.655226,0.2,0.001,0.9999,COMPLETE
2,2,-20837.655764919116,2024-11-22 18:01:40.587264,2024-11-22 18:01:50.117850,0 days 00:00:09.530586,0.2,0.01,0.9999,COMPLETE
3,3,26598.05879153991,2024-11-22 18:01:50.118378,2024-11-22 18:02:00.550052,0 days 00:00:10.431674,0.3,1e-05,0.99,COMPLETE
4,4,-20837.655764919116,2024-11-22 18:02:00.550536,2024-11-22 18:02:11.577436,0 days 00:00:11.026900,0.05,0.01,0.999,COMPLETE
