,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-449.9215910760167,2024-11-22 18:34:24.143944,2024-11-22 18:34:32.794467,0 days 00:00:08.650523,0.2,0.001,0.9,COMPLETE
1,1,32718.162573948925,2024-11-22 18:34:32.794948,2024-11-22 18:34:41.357442,0 days 00:00:08.562494,0.05,1e-05,0.999,COMPLETE
2,2,-537.1669822642989,2024-11-22 18:34:41.357911,2024-11-22 18:34:50.003475,0 days 00:00:08.645564,0.3,0.001,0.9999,COMPLETE
3,3,-418.88511958457303,2024-11-22 18:34:50.003963,2024-11-22 18:34:58.685242,0 days 00:00:08.681279,0.3,0.001,0.9,COMPLETE
4,4,-706.4668902319443,2024-11-22 18:34:58.685735,2024-11-22 18:35:07.416675,0 days 00:00:08.730940,0.3,1e-05,0.99,COMPLETE
