,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-43838.97278613349,2024-11-22 17:58:37.513742,2024-11-22 17:58:48.374608,0 days 00:00:10.860866,"[0, 10, 15, 20]",tanh,"[8, 2]",0.005,COMPLETE
1,1,3354.6043666357796,2024-11-22 17:58:48.375508,2024-11-22 17:58:58.210430,0 days 00:00:09.834922,"[0, 25, 50]",sigmoid,"[10, 4]",0.0005,COMPLETE
2,2,-43838.97278613349,2024-11-22 17:58:58.211041,2024-11-22 17:59:09.372914,0 days 00:00:11.161873,"[0, 10, 15, 20]",tanh,"[10, 2]",0.005,COMPLETE
3,3,-43838.97278613349,2024-11-22 17:59:09.373537,2024-11-22 17:59:20.451270,0 days 00:00:11.077733,"[0, 10, 15, 20]",sigmoid,"[6, 4]",5e-05,COMPLETE
4,4,3655.9025662255312,2024-11-22 17:59:20.451908,2024-11-22 17:59:31.453485,0 days 00:00:11.001577,"[0, 45, 50, 55]",tanh,"[8, 2]",0.0005,COMPLETE
