,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-640.6430953670877,2024-11-22 18:29:49.757358,2024-11-22 18:30:00.433704,0 days 00:00:10.676346,"[0, 10, 15, 20]",relu,"[8, 8]",5e-05,COMPLETE
1,1,2842.4027660339143,2024-11-22 18:30:00.434232,2024-11-22 18:30:11.853372,0 days 00:00:11.419140,"[0, 25, 50]",tanh,"[6, 2]",0.01,COMPLETE
2,2,-1804.623477712052,2024-11-22 18:30:11.853939,2024-11-22 18:30:24.572635,0 days 00:00:12.718696,"[0, 45, 50, 55]",relu,"[10, 4]",0.005,COMPLETE
3,3,3456.1665681933705,2024-11-22 18:30:24.573221,2024-11-22 18:30:34.579153,0 days 00:00:10.005932,"[0, 10, 20, 30]",relu,"[4, 2]",0.0001,COMPLETE
4,4,9921.15465340071,2024-11-22 18:30:34.579701,2024-11-22 18:30:44.991710,0 days 00:00:10.412009,"[0, 25, 50]",relu,"[4, 4]",0.0005,COMPLETE
