,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,1944.901573444578,2024-11-22 18:28:04.987204,2024-11-22 18:28:15.083279,0 days 00:00:10.096075,"[0, 50, 100]",tanh,"[10, 4]",0.01,COMPLETE
1,1,28538.471262194005,2024-11-22 18:28:15.083828,2024-11-22 18:28:25.790773,0 days 00:00:10.706945,"[0, 25, 50]",relu,"[4, 4]",5e-05,COMPLETE
2,2,28538.471262194005,2024-11-22 18:28:25.791324,2024-11-22 18:28:36.008641,0 days 00:00:10.217317,"[0, 25, 50]",sigmoid,"[8, 2]",0.001,COMPLETE
3,3,2614.2670772097326,2024-11-22 18:28:36.009224,2024-11-22 18:28:45.868988,0 days 00:00:09.859764,"[0, 45, 50, 55]",tanh,"[4, 2]",0.01,COMPLETE
4,4,18238.323380645874,2024-11-22 18:28:45.869569,2024-11-22 18:28:56.053766,0 days 00:00:10.184197,"[0, 10, 15, 20]",tanh,"[6, 4]",0.01,COMPLETE
