,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,28538.471262194005,2024-11-22 18:28:56.061801,2024-11-22 18:29:06.812330,0 days 00:00:10.750529,0.05,1e-05,0.9999,COMPLETE
1,1,28538.471262194005,2024-11-22 18:29:06.812789,2024-11-22 18:29:17.491446,0 days 00:00:10.678657,0.3,1e-05,0.9999,COMPLETE
2,2,28538.471262194005,2024-11-22 18:29:17.491956,2024-11-22 18:29:28.196439,0 days 00:00:10.704483,0.05,0.01,0.9999,COMPLETE
3,3,28538.471262194005,2024-11-22 18:29:28.196954,2024-11-22 18:29:38.755999,0 days 00:00:10.559045,0.05,0.01,0.999,COMPLETE
4,4,28538.471262194005,2024-11-22 18:29:38.756506,2024-11-22 18:29:49.403089,0 days 00:00:10.646583,0.2,0.0001,0.9999,COMPLETE
