,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,19539.68211593849,2024-11-22 17:59:31.465087,2024-11-22 17:59:42.984035,0 days 00:00:11.518948,0.1,0.01,0.9,COMPLETE
1,1,19539.68211593849,2024-11-22 17:59:42.984697,2024-11-22 17:59:54.127583,0 days 00:00:11.142886,0.2,0.0001,0.9999,COMPLETE
2,2,-2953.443137726331,2024-11-22 17:59:54.128142,2024-11-22 18:00:04.957912,0 days 00:00:10.829770,0.3,0.01,0.9999,COMPLETE
3,3,-3603.63506011746,2024-11-22 18:00:04.958441,2024-11-22 18:00:15.491352,0 days 00:00:10.532911,0.2,0.01,0.999,COMPLETE
4,4,3514.6479127964467,2024-11-22 18:00:15.491898,2024-11-22 18:00:26.614899,0 days 00:00:11.123001,0.2,0.001,0.99,COMPLETE
