,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,2842.4027660339143,2024-11-22 18:30:44.998790,2024-11-22 18:30:55.346407,0 days 00:00:10.347617,0.05,0.0001,0.9,COMPLETE
1,1,2842.4027660339143,2024-11-22 18:30:55.346883,2024-11-22 18:31:06.915538,0 days 00:00:11.568655,0.3,0.001,0.999,COMPLETE
2,2,2842.4027660339143,2024-11-22 18:31:06.916073,2024-11-22 18:31:18.121532,0 days 00:00:11.205459,0.4,0.01,0.99,COMPLETE
3,3,9921.15465340071,2024-11-22 18:31:18.122040,2024-11-22 18:31:28.186133,0 days 00:00:10.064093,0.1,0.01,0.999,COMPLETE
4,4,9921.15465340071,2024-11-22 18:31:28.186609,2024-11-22 18:31:37.360966,0 days 00:00:09.174357,0.2,0.01,0.99,COMPLETE
