,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,22394.318837006696,2024-11-22 18:27:12.707053,2024-11-22 18:27:23.028467,0 days 00:00:10.321414,0.3,0.001,0.9,COMPLETE
1,1,22394.318837006696,2024-11-22 18:27:23.028931,2024-11-22 18:27:33.655448,0 days 00:00:10.626517,0.2,0.001,0.999,COMPLETE
2,2,22394.318837006696,2024-11-22 18:27:33.655978,2024-11-22 18:27:44.272062,0 days 00:00:10.616084,0.1,0.0001,0.999,COMPLETE
3,3,22394.318837006696,2024-11-22 18:27:44.272562,2024-11-22 18:27:54.075710,0 days 00:00:09.803148,0.3,0.0001,0.9999,COMPLETE
4,4,22394.318837006696,2024-11-22 18:27:54.076205,2024-11-22 18:28:04.633215,0 days 00:00:10.557010,0.1,0.0001,0.999,COMPLETE
