,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,12910.139701123448,2024-11-22 18:08:53.065702,2024-11-22 18:09:46.947602,0 days 00:00:53.881900,"[0, 45, 50, 55]",relu,"[10, 8]",0.005,COMPLETE
1,1,-36379.66670625912,2024-11-22 18:09:46.948215,2024-11-22 18:10:18.592789,0 days 00:00:31.644574,"[0, 10, 15, 20]",tanh,"[10, 8]",0.01,COMPLETE
2,2,-36379.66670625912,2024-11-22 18:10:18.593559,2024-11-22 18:11:17.626068,0 days 00:00:59.032509,"[0, 10, 15, 20]",sigmoid,"[4, 2]",0.0005,COMPLETE
3,3,16193.72402039714,2024-11-22 18:11:17.626650,2024-11-22 18:11:39.696900,0 days 00:00:22.070250,"[0, 25, 50]",tanh,"[6, 6, 6]",0.01,COMPLETE
4,4,12962.860940001008,2024-11-22 18:11:39.697468,2024-11-22 18:12:50.966983,0 days 00:01:11.269515,"[0, 50, 100]",relu,"[4, 4, 4]",0.005,COMPLETE
