Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,5645.30604988033,,5645.30604988033,5645.30604988033,5645.30604988033,3.270919748358913,0.030762504041974528,5.0,1,8
VolProportionalWidth,15760.627687558988,,15760.627687558988,15760.627687558988,15760.627687558988,2.183098440210994,0.09441701459210178,5.0,1,8
ILMinimizer,1623.5616189688387,,1623.5616189688387,1623.5616189688387,1623.5616189688387,3.703425944857351,0.020773071172303606,5.0,1,8
ReactiveRecentering,839676.4844382777,,839676.4844382777,839676.4844382777,839676.4844382777,-86.42241082563808,1.0746280955355546e-07,0.0,1,8
PPO,36060.60041657824,8488.510928339796,32264.422923874718,32264.422923874714,43652.955401985295,,,,5,8
