Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,22296.45111017781,,22296.45111017781,22296.45111017781,22296.45111017781,0.2317364594145911,0.8281151118006599,4.0,1,2
VolProportionalWidth,24526.479506813426,,24526.479506813426,24526.479506813426,24526.479506813426,0.20395982819243832,0.8483415380971194,1.0,1,2
ILMinimizer,24526.479506813426,,24526.479506813426,24526.479506813426,24526.479506813426,0.20395982819243832,0.8483415380971194,1.0,1,2
ReactiveRecentering,-17820.869907685552,,-17820.869907685552,-17820.869907685552,-17820.869907685552,0.7314269715242396,0.5050609143454861,4.0,1,2
PPO,40901.258903362854,73289.23648957284,24171.656865722813,-9450.497654365437,108313.73185370304,,,,5,2
