Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,14064.334465065182,,14064.334465065182,14064.334465065182,14064.334465065182,0.7046424774022519,0.5198966616222276,5.0,1,0
VolProportionalWidth,52220.30968580852,,52220.30968580852,52220.30968580852,52220.30968580852,0.23816911031128904,0.8234531475282278,1.0,1,0
ILMinimizer,53785.3020185923,,53785.3020185923,53785.3020185923,53785.3020185923,0.21903639941288394,0.8373442676865955,1.0,1,0
ReactiveRecentering,-49333.551685767234,,-49333.551685767234,-49333.551685767234,-49333.551685767234,1.4797091674327782,0.2130478019167954,5.0,1,0
PPO,71701.75345623484,74669.81613669838,36607.248686342115,35951.37020630874,137690.993573581,,,,5,0
