Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,38025.73263046376,,38025.73263046376,38025.73263046376,38025.73263046376,-0.04512302013403166,0.9661720826048918,4.0,1,5
VolProportionalWidth,32517.466274211733,,32517.466274211733,32517.466274211733,32517.466274211733,0.08673239442004071,0.9350524478390825,4.0,1,5
ILMinimizer,32517.466274211733,,32517.466274211733,32517.466274211733,32517.466274211733,0.08673239442004071,0.9350524478390825,4.0,1,5
ReactiveRecentering,-18818.49106402721,,-18818.49106402721,-18818.49106402721,-18818.49106402721,1.315598883180295,0.25864703034907893,4.0,1,5
PPO,36140.716269646495,38135.22746701194,45038.01409405833,1028.991245058256,62355.143469822884,,,,5,5
