Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,8363.09566139181,,8363.09566139181,8363.09566139181,8363.09566139181,0.25077319987760754,0.8143442251224686,4.0,1,9
VolProportionalWidth,4098.368871760309,,4098.368871760309,4098.368871760309,4098.368871760309,0.35446923055433943,0.7408851609484207,4.0,1,9
ILMinimizer,4098.368871760309,,4098.368871760309,4098.368871760309,4098.368871760309,0.35446923055433943,0.7408851609484207,4.0,1,9
ReactiveRecentering,-29428.278629046268,,-29428.278629046268,-29428.278629046268,-29428.278629046268,1.1696633658935496,0.30707739426744207,4.0,1,9
PPO,18676.693748609872,37543.81996805955,18071.81753948012,-12870.102505808312,50828.36621215781,,,,5,9
