Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,31854.47309020179,,31854.47309020179,31854.47309020179,31854.47309020179,-1.1129076945752305,0.328117681217357,0.0,1,4
VolProportionalWidth,11898.164796851583,,11898.164796851583,11898.164796851583,11898.164796851583,-0.36121916446799274,0.7362062265209486,3.0,1,4
ILMinimizer,11898.164796851583,,11898.164796851583,11898.164796851583,11898.164796851583,-0.36121916446799274,0.7362062265209486,3.0,1,4
ReactiveRecentering,-17921.387300653627,,-17921.387300653627,-17921.387300653627,-17921.387300653627,0.7619853358402616,0.48852206488099703,3.0,1,4
PPO,2308.2871828333964,24235.48180528965,13401.666076723512,-16325.83089205238,20942.40525771917,,,,5,4
