Strategy,Display_Name,Mean,Std,Median,Q1,Q3,IQR,Min,Max,Positive_Rate,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,Ties_vs_PPO,N
PassiveWidthSweep,Passive Width,21127.32065786139,10381.832215104727,22581.357432771027,11709.934137341592,30384.5459344151,18674.611797073507,5645.30604988033,38025.73263046376,1.0,18207.164332606353,23950.394709590215,2.3982363585713933,0.01647423106298085,38.0,0.0,50
VolProportionalWidth,Vol-Proportional,24056.844910115207,14417.30616409739,24495.511979395953,11898.164796851584,32517.466274211733,20619.301477360146,4098.368871760309,52220.30968580852,1.0,20258.39751031298,28248.756672801126,2.1465442039667435,0.03182958601239072,33.0,0.0,50
ILMinimizer,IL Minimizer,16813.575660913917,19492.3950237449,11436.69124037931,1623.5616189688387,32517.466274211733,30893.904655242895,-9862.476317982064,53785.3020185923,0.8,11655.735179991965,22367.91669468996,3.1169504270467874,0.0018273229655163536,33.0,0.0,50
ReactiveRecentering,Reactive Recentering,65271.486980534624,261066.4725090518,-17871.12860416959,-24876.8671767415,-16394.193176187524,8482.674000553976,-49333.551685767234,839676.4844382777,0.2,-1754.5166445983496,150034.05912965018,-0.7422650099412607,0.45792678715947055,38.0,0.0,50
PPO,PPO,37332.116191821086,46667.71211922269,32264.42292387472,18631.04493385266,53397.967028177896,34766.92209432524,-33498.049202667265,205080.15683174023,0.82,24602.31156548547,50144.344038265255,,,,,50
