Experiment,Train_Pool,Test_Pool,Period,Mean,Std,Median,Min,Max,CI_Lower,CI_Upper,N
WETH->WETH_same,WETH,WETH,same,14375.650356525974,106905.61632452995,-63247.6996726258,-64264.180124439656,131484.1968564255,-63852.62932966925,92537.81755061523,5
WETH->WETH_future,WETH,WETH,future,7666.647329507517,79379.14565512248,-50303.68423155753,-50303.68423155753,94622.14467110508,-50303.68423155753,65636.97889057256,5
WETH->WBTC_same,WETH,WBTC,same,102627.09390161492,37582.012372111116,87833.73427191113,55217.162875581176,141125.41904433558,74787.10571337915,130467.08208985071,5
WETH->WBTC_future,WETH,WBTC,future,4970.0146978157545,11068.171585853048,1394.1347681560096,-9849.260401074687,16014.742094519164,-3150.5912336150236,13090.620629246532,5
WBTC->WBTC_same,WBTC,WBTC,same,115924.93826485611,23032.100646596464,100828.81058608076,97692.23725708542,141125.41904433558,98783.77917702762,133066.09735268462,5
WBTC->WBTC_future,WBTC,WBTC,future,2280.1397968540537,12537.919161322441,-6876.261734922687,-6876.261734922687,16014.742094519164,-6876.2617349226875,11436.541328630794,5
WBTC->WETH_same,WBTC,WETH,same,13613.043948114913,107603.77585309156,-64051.5465224556,-66133.72545170528,131484.1968564255,-65150.96028441945,92377.04818064926,5
WBTC->WETH_future,WBTC,WETH,future,7985.0199341454745,79088.6514482759,-49627.861504617074,-50013.37021570114,94622.14467110508,-49792.0842783602,65772.14343596065,5
