WETH->WETH_same,WETH->WETH_future,WETH->WBTC_same,WETH->WBTC_future,WBTC->WBTC_same,WBTC->WBTC_future,WBTC->WETH_same,WBTC->WETH_future
-63247.6996726258,-50303.68423155753,141125.41904433558,16014.742094519164,141125.41904433558,16014.742094519164,131484.1968564255,94622.14467110508
131484.1968564255,94622.14467110508,87833.73427191113,1275.714932959122,100828.81058608076,-6876.261734922687,-66133.72545170528,-50013.37021570114
-63578.26213315565,-50303.68423155753,87833.73427191113,1394.1347681560096,141125.41904433558,16014.742094519164,131484.1968564255,94622.14467110508
131484.1968564255,94622.14467110508,55217.162875581176,-9849.260401074687,98852.80539244326,-6876.261734922687,-64717.90199811553,-49677.95795116457
-64264.180124439656,-50303.68423155753,141125.41904433558,16014.742094519164,97692.23725708542,-6876.261734922687,-64051.5465224556,-49627.861504617074
