Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,9367.397139064858,,9367.397139064858,9367.397139064858,9367.397139064858,-2.154268360818089,0.09751361560396876,0.0,1,2
VolProportionalWidth,8575.219496393842,,8575.219496393842,8575.219496393842,8575.219496393842,-1.9711532706997996,0.12001088469618351,0.0,1,2
ILMinimizer,8575.219496393842,,8575.219496393842,8575.219496393842,8575.219496393842,-1.9711532706997996,0.12001088469618351,0.0,1,2
ReactiveRecentering,10839.141006953789,,10839.141006953789,10839.141006953789,10839.141006953789,-2.494467953034352,0.06716259795068187,0.0,1,2
PPO,47.77618018473622,3949.188132282413,2931.70495688101,-2858.971358466621,2931.70495688101,,,,5,2
