Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,-20040.947796873126,,-20040.947796873126,-20040.947796873126,-20040.947796873126,0.8715870104636441,0.4326233992045171,4.0,1,1
VolProportionalWidth,7085.868546196556,,7085.868546196556,7085.868546196556,7085.868546196556,-1.2431095677510045,0.2817145498011733,0.0,1,1
ILMinimizer,8682.171072097131,,8682.171072097131,8682.171072097131,8682.171072097131,-1.367550838212872,0.24325394719646978,0.0,1,1
ReactiveRecentering,21791.66168212399,,21791.66168212399,21791.66168212399,21791.66168212399,-2.389513555273232,0.07520750119745898,0.0,1,1
PPO,-8860.440388186835,11710.087534908544,-2112.6266942393618,-18268.137222238223,-352.2479167604929,,,,5,1
