Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N
PassiveWidthSweep,8361.449351861651,13548.184779315712,8570.698445124117,4630.963220852257,11971.28233747263,-2.3798796570342056,0.019253814935074335,23.0,50
VolProportionalWidth,13891.263691083435,8418.978716155256,12784.323880226155,11622.520124827643,16273.911962611757,-6.215248603853093,1.2518547840062035e-08,11.0,50
ILMinimizer,10507.086905053102,10054.21181218935,8633.349396120488,7706.128002410135,13326.996660389328,-3.9560157820761357,0.00014420726127488534,19.0,50
ReactiveRecentering,46805.69030969398,111345.10523727616,9901.80639890522,17571.620851270738,77086.59000197177,-2.783722800949551,0.00644928226463836,10.0,50
PPO,2816.517730597924,9374.075182089446,1970.654569191739,218.7252395106819,5337.1111037190185,,,,50
