Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,18365.16283004876,,18365.16283004876,18365.16283004876,18365.16283004876,-0.74362874737064,0.4984074079481477,1.0,1,7
VolProportionalWidth,17968.136746552147,,17968.136746552147,17968.136746552147,17968.136746552147,-0.7122440250291668,0.5156541272864474,1.0,1,7
ILMinimizer,17163.67980194609,,17163.67980194609,17163.67980194609,17163.67980194609,-0.6486520876436568,0.5519219345540229,1.0,1,7
ReactiveRecentering,15199.550701514498,,15199.550701514498,15199.550701514498,15199.550701514498,-0.4933886200221929,0.6475994188936084,1.0,1,7
PPO,8958.037734858275,11548.089092680571,1787.878032302365,1231.1791095083488,19320.97562085396,,,,5,7
