Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,-2268.080823062071,,-2268.080823062071,-2268.080823062071,-2268.080823062071,2.393514461565223,0.07488145568090356,5.0,1,8
VolProportionalWidth,17153.524879592074,,17153.524879592074,17153.524879592074,17153.524879592074,-4.182193328165319,0.013893694875194639,0.0,1,8
ILMinimizer,-2449.449430012121,,-2449.449430012121,-2449.449430012121,-2449.449430012121,2.4549216891546,0.07007310924514006,5.0,1,8
ReactiveRecentering,377108.73420417216,,377108.73420417216,377108.73420417216,377108.73420417216,-126.05472591625414,2.3753769150258438e-08,0.0,1,8
PPO,4801.256136940708,2696.1993766733754,6059.796443207261,2788.482943994843,6814.029329886573,,,,5,8
