Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,7773.999751183376,,7773.999751183376,7773.999751183376,7773.999751183376,0.241981446960296,0.8206943524398415,4.0,1,3
VolProportionalWidth,9467.801329216283,,9467.801329216283,9467.801329216283,9467.801329216283,0.046733325806719114,0.9649659442821795,4.0,1,3
ILMinimizer,10515.031589864848,,10515.031589864848,10515.031589864848,10515.031589864848,-0.0739831403122128,0.9445758269717682,4.0,1,3
ReactiveRecentering,5466.9508497040015,,5466.9508497040015,5466.9508497040015,5466.9508497040015,0.507919895279843,0.6382373298215038,4.0,1,3
PPO,9873.218705478173,7919.268115062851,12458.356415545612,2799.638869691179,14029.83795423098,,,,5,3
