Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,26820.357292876557,,26820.357292876557,26820.357292876557,26820.357292876557,-7.975803296368597,0.0013392357425127874,0.0,1,6
VolProportionalWidth,31409.010863398114,,31409.010863398114,31409.010863398114,31409.010863398114,-9.285892619466402,0.0007481760181381013,0.0,1,6
ILMinimizer,31409.010863398114,,31409.010863398114,31409.010863398114,31409.010863398114,-9.285892619466402,0.0007481760181381013,0.0,1,6
ReactiveRecentering,8397.9796258617,,8397.9796258617,8397.9796258617,8397.9796258617,-2.7160991333261926,0.05320079518208812,0.0,1,6
PPO,-1115.2938328956511,3197.376220638617,-3349.1362355233045,-3468.6207097778615,1259.2101841589863,,,,5,6
