Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,18365.16283004876,,18365.16283004876,18365.16283004876,18365.16283004876,1.1099803396548111,0.32923797304407587,5.0,1,7
VolProportionalWidth,17968.136746552147,,17968.136746552147,17968.136746552147,17968.136746552147,1.1224120003520714,0.3245043529329201,5.0,1,7
ILMinimizer,17163.67980194609,,17163.67980194609,17163.67980194609,17163.67980194609,1.1476011156183048,0.3151037882526505,5.0,1,7
ReactiveRecentering,15199.550701514498,,15199.550701514498,15199.550701514498,15199.550701514498,1.2091018269245668,0.2932024711949401,5.0,1,7
PPO,53814.25991717427,29154.075113089417,40564.46722825661,40564.46722825661,79973.46881459313,,,,5,7
