Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,16680.458920878275,,16680.458920878275,16680.458920878275,16680.458920878275,-2.803536196918946,0.048635976264631196,0.0,1,4
VolProportionalWidth,8584.527720143842,,8584.527720143842,8584.527720143842,8584.527720143842,0.49374370487576585,0.6473696954317298,3.0,1,4
ILMinimizer,8584.527720143842,,8584.527720143842,8584.527720143842,8584.527720143842,0.49374370487576585,0.6473696954317298,3.0,1,4
ReactiveRecentering,8964.471790856653,,8964.471790856653,8964.471790856653,8964.471790856653,0.3390015366056388,0.7516580003796135,3.0,1,4
PPO,9796.834586568553,2241.4051757422476,9758.398395738892,8345.416373739825,11650.282959731923,,,,5,4
