Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,24600.604573585253,,24600.604573585253,24600.604573585253,24600.604573585253,-0.16447059960918997,0.8773373097513304,3.0,1,5
VolProportionalWidth,21764.781212478854,,21764.781212478854,21764.781212478854,21764.781212478854,0.06014867473025818,0.9549224632035063,3.0,1,5
ILMinimizer,21764.781212478854,,21764.781212478854,21764.781212478854,21764.781212478854,0.06014867473025818,0.9549224632035063,3.0,1,5
ReactiveRecentering,12345.871194553125,,12345.871194553125,12345.871194553125,12345.871194553125,0.8061996320330452,0.46532735636183964,4.0,1,5
PPO,22524.159575895195,11525.01589297279,25633.15631512086,12977.390968218193,31101.49483221221,,,,5,5
