PassiveWidthSweep,VolProportionalWidth,ILMinimizer,ReactiveRecentering,PPO
1528.3954902171006,16100.846431236028,22.97703859379498,2185.2946904010378,27224.653860062124
1528.3954902171006,16100.846431236028,22.97703859379498,2185.2946904010378,3856.888176610267
1528.3954902171006,16100.846431236028,22.97703859379498,2185.2946904010378,27847.96284340615
1528.3954902171006,16100.846431236028,22.97703859379498,2185.2946904010378,17678.063129237897
1528.3954902171006,16100.846431236028,22.97703859379498,2185.2946904010378,35156.876903562734
-20040.947796873126,7085.868546196556,8682.171072097131,21791.66168212399,16634.90476173339
-20040.947796873126,7085.868546196556,8682.171072097131,21791.66168212399,21826.645917179754
-20040.947796873126,7085.868546196556,8682.171072097131,21791.66168212399,3534.3645070551433
-20040.947796873126,7085.868546196556,8682.171072097131,21791.66168212399,10021.956680670472
-20040.947796873126,7085.868546196556,8682.171072097131,21791.66168212399,57640.18960468124
9367.397139064858,8575.219496393842,8575.219496393842,10839.141006953789,5728.7470615990305
9367.397139064858,8575.219496393842,8575.219496393842,10839.141006953789,3354.6565890451875
9367.397139064858,8575.219496393842,8575.219496393842,10839.141006953789,7019.782428459596
9367.397139064858,8575.219496393842,8575.219496393842,10839.141006953789,5525.111471217212
9367.397139064858,8575.219496393842,8575.219496393842,10839.141006953789,5577.279808762604
7773.999751183376,9467.801329216283,10515.031589864848,5466.9508497040015,-733.6089948702315
7773.999751183376,9467.801329216283,10515.031589864848,5466.9508497040015,15705.225471833499
7773.999751183376,9467.801329216283,10515.031589864848,5466.9508497040015,12555.820341964547
7773.999751183376,9467.801329216283,10515.031589864848,5466.9508497040015,8188.036267366055
7773.999751183376,9467.801329216283,10515.031589864848,5466.9508497040015,12555.820341964547
16680.458920878275,8584.527720143842,8584.527720143842,8964.471790856653,9758.398395738892
16680.458920878275,8584.527720143842,8584.527720143842,8964.471790856653,7937.668957812611
16680.458920878275,8584.527720143842,8584.527720143842,8964.471790856653,13481.654609684172
16680.458920878275,8584.527720143842,8584.527720143842,8964.471790856653,8048.052573868205
16680.458920878275,8584.527720143842,8584.527720143842,8964.471790856653,9758.398395738892
24600.604573585253,21764.781212478854,21764.781212478854,12345.871194553125,25633.15631512086
24600.604573585253,21764.781212478854,21764.781212478854,12345.871194553125,27587.11574539661
24600.604573585253,21764.781212478854,21764.781212478854,12345.871194553125,8601.65794229253
24600.604573585253,21764.781212478854,21764.781212478854,12345.871194553125,13448.824699092514
24600.604573585253,21764.781212478854,21764.781212478854,12345.871194553125,37350.04317757348
26820.357292876557,31409.010863398114,31409.010863398114,8397.9796258617,23405.759570520586
26820.357292876557,31409.010863398114,31409.010863398114,8397.9796258617,22813.04609448982
26820.357292876557,31409.010863398114,31409.010863398114,8397.9796258617,143718.4379697354
26820.357292876557,31409.010863398114,31409.010863398114,8397.9796258617,17278.29115031088
26820.357292876557,31409.010863398114,31409.010863398114,8397.9796258617,22813.04609448982
18365.16283004876,17968.136746552147,17163.67980194609,15199.550701514498,40564.46722825661
18365.16283004876,17968.136746552147,17163.67980194609,15199.550701514498,105962.48947180377
18365.16283004876,17968.136746552147,17163.67980194609,15199.550701514498,40564.46722825661
18365.16283004876,17968.136746552147,17163.67980194609,15199.550701514498,40564.46722825661
18365.16283004876,17968.136746552147,17163.67980194609,15199.550701514498,41415.40842929776
-2268.080823062071,17153.524879592074,-2449.449430012121,377108.73420417216,85336.76048435734
-2268.080823062071,17153.524879592074,-2449.449430012121,377108.73420417216,4897.8554862221245
-2268.080823062071,17153.524879592074,-2449.449430012121,377108.73420417216,29757.608702609206
-2268.080823062071,17153.524879592074,-2449.449430012121,377108.73420417216,36685.960626010994
-2268.080823062071,17153.524879592074,-2449.449430012121,377108.73420417216,52745.178637170575
787.1461406975295,802.9196856265909,802.9196856265909,5757.247350798947,15459.874843750351
787.1461406975295,802.9196856265909,802.9196856265909,5757.247350798947,9842.596813261851
787.1461406975295,802.9196856265909,802.9196856265909,5757.247350798947,5110.389145407212
787.1461406975295,802.9196856265909,802.9196856265909,5757.247350798947,2905.130187672684
787.1461406975295,802.9196856265909,802.9196856265909,5757.247350798947,12100.663039952202
