Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N
PassiveWidthSweep,15981.55145522731,9913.128661616942,15182.437287687728,14173.694585374547,17751.505567131077,-1.4313540532888427,0.15376079526595918,39.0,110
VolProportionalWidth,17012.867189024273,9842.89410560318,17832.924408349943,15131.41912341163,18872.06810419013,-2.075618101317725,0.039102345475088895,37.0,110
ILMinimizer,16035.785061615104,9841.539058596632,15083.807652021835,14224.570862523902,17857.712391969417,-1.4686003931449427,0.143382670729152,38.0,110
ReactiveRecentering,16081.337575648333,17586.67636986041,8862.108288272346,12930.857080683048,19587.75231500389,-1.1329745057291338,0.25846947765639694,56.0,110
PPO,13672.24023649078,13713.41134091714,9285.335836773957,11389.469775231824,16331.849978764265,,,,110
