PassiveWidthSweep,VolProportionalWidth,ILMinimizer,ReactiveRecentering,PPO
9937.262997709922,13767.45165635282,9973.52847549978,46946.00284660908,9646.436044647102
9937.262997709922,13767.45165635282,9973.52847549978,46946.00284660908,17196.194277489252
9937.262997709922,13767.45165635282,9973.52847549978,46946.00284660908,8579.529275961866
9937.262997709922,13767.45165635282,9973.52847549978,46946.00284660908,8500.351848295615
9937.262997709922,13767.45165635282,9973.52847549978,46946.00284660908,24325.223048102845
9338.936352747223,26662.077110822294,11014.774371586454,28579.60641239618,26434.30756443749
9338.936352747223,26662.077110822294,11014.774371586454,28579.60641239618,33620.44065552062
9338.936352747223,26662.077110822294,11014.774371586454,28579.60641239618,9209.4011501132
9338.936352747223,26662.077110822294,11014.774371586454,28579.60641239618,9750.395905428237
9338.936352747223,26662.077110822294,11014.774371586454,28579.60641239618,9750.395905428237
7875.93112391412,8061.887139706463,8061.887139706463,11652.438688302203,5340.467087181851
7875.93112391412,8061.887139706463,8061.887139706463,11652.438688302203,5402.610230346555
7875.93112391412,8061.887139706463,8061.887139706463,11652.438688302203,3869.377569370838
7875.93112391412,8061.887139706463,8061.887139706463,11652.438688302203,4140.552371959573
7875.93112391412,8061.887139706463,8061.887139706463,11652.438688302203,3869.377569370838
5729.315556511908,7071.044214945107,5751.859514714372,7420.267226186834,1343.7641621087148
5729.315556511908,7071.044214945107,5751.859514714372,7420.267226186834,2252.792415783242
5729.315556511908,7071.044214945107,5751.859514714372,7420.267226186834,5067.897980057227
5729.315556511908,7071.044214945107,5751.859514714372,7420.267226186834,2856.471921259601
5729.315556511908,7071.044214945107,5751.859514714372,7420.267226186834,1119.1780834751337
2921.2867541381743,2926.2867541381747,2926.2867541381747,-319.1647009750401,3386.070144592792
2921.2867541381743,2926.2867541381747,2926.2867541381747,-319.1647009750401,3386.070144592792
2921.2867541381743,2926.2867541381747,2926.2867541381747,-319.1647009750401,3347.2895315344317
2921.2867541381743,2926.2867541381747,2926.2867541381747,-319.1647009750401,3386.070144592792
2921.2867541381743,2926.2867541381747,2926.2867541381747,-319.1647009750401,3386.070144592792
9241.520787745389,10199.533083825248,9464.136901143163,3979.408274316156,6440.63338382869
9241.520787745389,10199.533083825248,9464.136901143163,3979.408274316156,3332.637590614804
9241.520787745389,10199.533083825248,9464.136901143163,3979.408274316156,10383.618545266405
9241.520787745389,10199.533083825248,9464.136901143163,3979.408274316156,-2871.694000736697
9241.520787745389,10199.533083825248,9464.136901143163,3979.408274316156,877.8178543235844
6638.297850777554,6643.297850777554,6643.297850777554,6507.385461018961,-2361.051214849925
6638.297850777554,6643.297850777554,6643.297850777554,6507.385461018961,7682.866246734187
6638.297850777554,6643.297850777554,6643.297850777554,6507.385461018961,3314.567423661451
6638.297850777554,6643.297850777554,6643.297850777554,6507.385461018961,444.2587571374619
6638.297850777554,6643.297850777554,6643.297850777554,6507.385461018961,3836.046076472679
5418.836690195729,5423.836690195729,5423.836690195729,1967.1166202732077,3422.171247972763
5418.836690195729,5423.836690195729,5423.836690195729,1967.1166202732077,6281.14162865053
5418.836690195729,5423.836690195729,5423.836690195729,1967.1166202732077,3422.171247972763
5418.836690195729,5423.836690195729,5423.836690195729,1967.1166202732077,2479.490842030488
5418.836690195729,5423.836690195729,5423.836690195729,1967.1166202732077,3422.171247972763
3825.436051454664,3830.4360514546624,3830.4360514546624,7074.167831327833,1348.430527814513
3825.436051454664,3830.4360514546624,3830.4360514546624,7074.167831327833,3507.5854582186066
3825.436051454664,3830.4360514546624,3830.4360514546624,7074.167831327833,-2463.833652157645
3825.436051454664,3830.4360514546624,3830.4360514546624,7074.167831327833,2289.3342270771536
3825.436051454664,3830.4360514546624,3830.4360514546624,7074.167831327833,419.3985570276236
7574.571841619037,7615.287517856587,7615.287517856587,-1634.5433245714446,-2359.8531327818846
