Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N
PassiveWidthSweep,23267.401825615103,5633.82383109137,22686.12333235871,21220.218849746612,25590.525678143764,-0.5036399944081921,0.6168180836196819,12.0,25
VolProportionalWidth,23019.34508533559,5834.418973203628,21085.783771319086,20855.323500912127,25373.26837391842,-0.41075862591915285,0.6830775178363103,13.0,25
ILMinimizer,23019.34508533559,5834.418973203628,21085.783771319086,21012.7584280277,25340.265340663682,-0.41075862591915285,0.6830775178363103,13.0,25
ReactiveRecentering,16860.714791921095,12105.945452314658,13899.750136784778,12216.735264917588,21423.938609728873,1.442902371259311,0.15554243045757235,19.0,25
PPO,21885.11443754674,12513.191311624376,21561.622611153707,17266.71395240128,26459.374748462837,,,,25
