Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,22686.12333235871,,22686.12333235871,22686.12333235871,22686.12333235871,1.0043732228456577,0.3720275352085744,4.0,1,12
VolProportionalWidth,21085.783771319086,,21085.783771319086,21085.783771319086,21085.783771319086,1.584853855487106,0.18817779421031042,5.0,1,12
ILMinimizer,21085.783771319086,,21085.783771319086,21085.783771319086,21085.783771319086,1.584853855487106,0.18817779421031042,5.0,1,12
ReactiveRecentering,13899.750136784778,,13899.750136784778,13899.750136784778,13899.750136784778,4.191396524248835,0.013790992792891544,5.0,1,12
PPO,25455.101506970088,2516.7135300180985,27290.520791773946,23602.18185655632,27293.43762200156,,,,5,12
